pan,tilt,dist
-1.6, 2.4, 20
17.1, 2.0, 20
27.5, 1.2, 20
1.6, 2.4, 20
-17.1, 2.0, 20
-27.5, 1.2, 20
0.5, 23.5, 40
24.5, 22.3, 40
43.0, 21.0, 40
-0.5, 23.5, 40
-24.5, 22.3, 40
-43.0, 21.0, 40
48.5, 33.2, 60
29.4, 34.8, 60
0.3, 35.3, 60
-48.5, 33.2, 60
-29.4, 34.8, 60
-0.3, 35.3, 60
0.0,43.2, 80
28.4, 42.2, 80
49.2, 39.8, 80
0.0,43.2, 80
-28.4, 42.2, 80
-49.2, 39.8, 80
51.8, 45.8, 100
27.7, 46.9, 100
2.4, 47.3, 100
-51.8, 45.8, 100
-27.7, 46.9, 100
-2.4, 47.3, 100
3.1, 52.1, 120
30.8, 51.7, 120
51.2, 50.4, 120
-3.1, 52.1, 120
-30.8, 51.7, 120
-51.2, 50.4, 120



